 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of Metadata of Selected Records --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename,,,,,,,,,,,,
1, SRSS,161,0.001,0.935,4.396,5.3,14.9,0.4," ""Imperial Valley-06""",1979," ""Brawley Airport""",6.53, strike slip,8.54,10.42,208.71,0.05375,0.9354, RSN161_IMPVALL.H_H-BRA225.AT2, RSN161_IMPVALL.H_H-BRA315.AT2 , RSN161_IMPVALL.H_H-BRA-UP.AT2  ,,,,,,,,,,,,
2, SRSS,548,0.0013,1.1203, -,5.7,16.6,0.4," ""Chalfant Valley-02""",1986," ""Benton""",6.19, strike slip,21.55,21.92,370.94,0.125,1.1207, RSN548_CHALFANT.A_A-BEN270.AT2, RSN548_CHALFANT.A_A-BEN360.AT2 , RSN548_CHALFANT.A_A-BEN-UP.AT2  ,,,,,,,,,,,,
3, SRSS,806,0.0013,0.8428, -,9.9,25.3,0.8," ""Loma Prieta""",1989," ""Sunnyvale - Colton Ave.""",6.93, Reverse Oblique,23.92,24.23,267.71,0.1,0.8431, RSN806_LOMAP_SVL270.AT2, RSN806_LOMAP_SVL360.AT2 , RSN806_LOMAP_SVL-UP.AT2  ,,,,,,,,,,,,
4, SRSS,2507,0.0012,0.9598, -,9.3,18.6,0.4," ""Chi-Chi_ Taiwan-03""",1999," ""CHY101""",6.2, Reverse,24.4,25.3,258.89,0.06,0.9602, RSN2507_CHICHI.03_CHY101N.AT2, RSN2507_CHICHI.03_CHY101E.AT2 , RSN2507_CHICHI.03_CHY101V.AT2  ,,,,,,,,,,,,
5, SRSS,4879,0.0007,0.8489, -,6.6,18.2,0.7," ""Chuetsu-oki_ Japan""",2007," ""Yan Sakuramachi City watershed""",6.8, Reverse,12.98,18.97,265.82,0.1,0.8493, RSN4879_CHUETSU_65084NS.AT2, RSN4879_CHUETSU_65084EW.AT2 , RSN4879_CHUETSU_65084UD.AT2  ,,,,,,,,,,,,
6, SRSS,1410,0.0044,1.5761, -,13.9,31,0.6," ""Chi-Chi_ Taiwan""",1999," ""TAP003""",7.62, Reverse Oblique,101.27,102.39,212.39,0.05,1.5814, RSN1410_CHICHI_TAP003-N.AT2, RSN1410_CHICHI_TAP003-E.AT2 , RSN1410_CHICHI_TAP003-V.AT2  ,,,,,,,,,,,,
7, SRSS,1640,0.0038,1.1787, -,17.6,25.9,0.4," ""Manjil_ Iran""",1990," ""Tonekabun""",7.37, strike slip,93.3,93.62,289.69,0.25,1.1826, RSN1640_MANJIL_189042.AT2, RSN1640_MANJIL_189132.AT2 , RSN1640_MANJIL_189-UP.AT2  ,,,,,,,,,,,,
8, SRSS,1810,0.0098,1.3133, -,8,31,0.3," ""Hector Mine""",1999," ""Mecca - CVWD Yard""",7.13, strike slip,91.96,91.96,318,0.039,1.3177, RSN1810_HECTOR_MCY090.AT2, RSN1810_HECTOR_MCY180.AT2 , RSN1810_HECTOR_MCY-UP.AT2  ,,,,,,,,,,,,
9, SRSS,1825,0.0108,1.9279, -,23.9,34.7,0.2," ""Hector Mine""",1999," ""San Bernardino - E & Hospitality""",7.13, strike slip,105.2,105.2,296.97,0.091,1.9343, RSN1825_HECTOR_HOS360.AT2, RSN1825_HECTOR_HOS090.AT2 , RSN1825_HECTOR_HOS-UP.AT2  ,,,,,,,,,,,,
10, SRSS,5790,0.0116,1.0442, -,14.5,25.8,0.4," ""Iwate_ Japan""",2008," ""Shinminami Okawara Town""",6.9, Reverse,87.84,87.85,327.45,0.075,1.0477, RSN5790_IWATE_54062NS.AT2, RSN5790_IWATE_54062EW.AT2 , RSN5790_IWATE_54062UD.AT2  ,,,,,,,,,,,,
11, SRSS,6901,0.009,1.1465, -,14,29.7,0.3," ""Darfield_ New Zealand""",2010," ""FDCS""",7, strike slip,90.17,91.59,389.54,0.0375,1.1503, RSN6901_DARFIELD_FDCSN09W.AT2, RSN6901_DARFIELD_FDCSS81W.AT2 , RSN6901_DARFIELD_FDCSUP.AT2  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 These records are UNSCALED, AS RECORDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
