 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of Metadata of Selected Records --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename,,,,,,,,,,,,
1, SRSS,6,0.0091,0.8486, -,17.7,24.2,1.6," ""Imperial Valley-02""",1940," ""El Centro Array #9""",6.95, strike slip,6.09,6.09,213.44,0.25,0.8539, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  ,,,,,,,,,,,,
2, SRSS,266,0.0205,1.6928, -,10.9,19,0.4," ""Victoria_ Mexico""",1980," ""Chihuahua""",6.33, strike slip,18.53,18.96,242.05,0.0625,1.7033, RSN266_VICT_CHI102.AT2, RSN266_VICT_CHI192.AT2 , RSN266_VICT_CHIDWN.AT2  ,,,,,,,,,,,,
3, SRSS,461,0.0151,0.9143, -,8.9,15.3,0.9," ""Morgan Hill""",1984," ""Halls Valley""",6.19, strike slip,3.45,3.48,281.61,0.25,0.9199, RSN461_MORGAN_HVR150.AT2, RSN461_MORGAN_HVR240.AT2 , RSN461_MORGAN_HVR-UP.AT2  ,,,,,,,,,,,,
4, SRSS,4098,0.0181,0.7484,1.33,2.8,7.1,0.6," ""Parkfield-02_ CA""",2004," ""Parkfield - Cholame 1E""",6, strike slip,1.66,3,326.64,0.1625,0.7531, RSN4098_PARK2004_C01090.AT2, RSN4098_PARK2004_C01360.AT2 , RSN4098_PARK2004_C01-UP.AT2  ,,,,,,,,,,,,
5, SRSS,5823,0.0125,0.9239, -,26.8,51.2,2.3," ""El Mayor-Cucapah_ Mexico""",2010," ""Chihuahua""",7.2, strike slip,18.21,19.47,242.05,0.075,0.9296, RSN5823_SIERRA.MEX_CHI000.AT2, RSN5823_SIERRA.MEX_CHI090.AT2 , RSN5823_SIERRA.MEX_CHI--V.AT2  ,,,,,,,,,,,,
6, SRSS,6890,0.0202,0.8645, -,9,20,1.1," ""Darfield_ New Zealand""",2010," ""Christchurch Cashmere High School""",7, strike slip,17.64,17.64,204,0.075,0.8699, RSN6890_DARFIELD_CMHSN10E.AT2, RSN6890_DARFIELD_CMHSS80E.AT2 , RSN6890_DARFIELD_CMHSUP.AT2  ,,,,,,,,,,,,
7, SRSS,140,0.1366,2.6295, -,20.5,24.2,0.2," ""Tabas_ Iran""",1978," ""Ferdows""",7.35, Reverse,89.76,91.14,302.64,0.15625,2.7627, RSN140_TABAS_FER-L1.AT2, RSN140_TABAS_FER-T1.AT2 , RSN140_TABAS_FER-V1.AT2  ,,,,,,,,,,,,
8, SRSS,836,0.0789,2.218, -,12.3,25.7,0.3," ""Landers""",1992," ""Baker Fire Station""",7.28, strike slip,87.94,87.94,324.62,0.1,2.3304, RSN836_LANDERS_BAK050.AT2, RSN836_LANDERS_BAK140.AT2 , RSN836_LANDERS_BAK-UP.AT2  ,,,,,,,,,,,,
9, SRSS,841,0.0853,2.0894, -,9.6,14.1,0.2," ""Landers""",1992," ""Boron Fire Station""",7.28, strike slip,89.69,89.69,291.03,0.07,2.1952, RSN841_LANDERS_BFS000.AT2, RSN841_LANDERS_BFS090.AT2 , RSN841_LANDERS_BFS-UP.AT2  ,,,,,,,,,,,,
10, SRSS,1454,0.1711,2.3788, -,18.5,29.1,0.4," ""Chi-Chi_ Taiwan""",1999," ""TAP090""",7.62, Reverse Oblique,103.65,105.56,324.38,0.0375,2.4993, RSN1454_CHICHI_TAP090-N.AT2, RSN1454_CHICHI_TAP090-E.AT2 , RSN1454_CHICHI_TAP090-V.AT2  ,,,,,,,,,,,,
